RANKED SIMILARITIES: 1 (converts to 0, then to 0) 
41 37 1.79541047787 (94, 82) mlgrad
41 97 1.80515829933 (22, 19) 1styeargrad
41 69 1.80745593964 (28, 24) 1styeargrad
41 94 1.82963603092 (10, 8) mlgrad
41 76 1.83313229917 (82, 71) 1styeargrad
41 20 1.89656917345 (74, 63) sloan
41 72 1.90370465869 (81, 70) sloan
41 12 1.90485897352 (97, 85) sloan
41 35 1.91371852494 (0, 0) sloan
41 66 1.95273287606 (42, 36) sloan
41 17 1.95273553317 (0, 0) 5 year media lab
41 78 1.95273553317 (12, 10) mlgrad
41 86 1.95273553317 (8, 6) mlgrad
41 57 1.95273553317 (23, 20) mlgrad
41 27 1.95273553317 (34, 0) 
41 15 1.95273553317 (15, 13) 1styeargrad
41 24 1.95273553317 (78, 67) mlfrosh
41 84 1.95273553317 (77, 66) sloan
41 29 1.95273553317 (4, 2) mlgrad
41 71 1.95273553317 (20, 17) 1styeargrad
41 77 1.95273553317 (89, 77) sloan
41 90 1.95273553317 (13, 11) grad
41 81 1.95273553317 (19, 16) 1styeargrad
41 96 1.95273553317 (25, 21) mlgrad
41 5 1.95273553317 (24, 0) 
41 10 1.95273553317 (37, 32) mlgrad
41 65 1.95273553317 (53, 44) mlgrad
41 80 1.95273553317 (27, 23) mlgrad
41 58 1.95273553317 (33, 29) mlfrosh
41 43 1.9527359798 (101, 89) mlgrad
41 91 1.95273603798 (35, 30) mlgrad
41 74 1.95273628728 (75, 64) mlgrad
41 85 1.95273644418 (6, 4) mlgrad
41 47 1.95273644418 (90, 78) mlgrad
41 70 1.95273644418 (40, 34) mlfrosh
41 46 1.95273644418 (93, 81) sloan
41 2 1.95273644418 (29, 25) mlgrad
41 6 1.95273644418 (3, 1) 1styeargrad
41 93 1.95273644418 (65, 54) mlgrad
41 11 1.95273644418 (88, 76) 1styeargrad
41 59 1.95273644418 (7, 5) grad
41 22 1.95273644418 (49, 41) sloan
41 28 1.95273644418 (0, 0) 6years
41 36 1.95273644418 (54, 45) sloan
41 62 1.95273644418 (104, 92) mlgrad
41 4 1.95273644418 (55, 46) sloan
41 30 1.95273644418 (68, 57) mlgrad
41 61 1.95273644418 (79, 68) mlfrosh
41 82 1.95273644418 (83, 72) mlgrad
41 92 1.95273644418 (46, 39) sloan
41 26 1.95273644418 (63, 53) 1styeargrad
41 49 1.95273644418 (50, 42) mlgrad
41 42 1.95273644418 (51, 0) 
41 23 1.95273644418 (61, 51) sloan
41 9 1.95439414956 (0, 0) mlUrop
41 21 1.95769749601 (103, 91) mlgrad
41 50 1.96292704085 (86, 74) sloan
41 19 1.96688312402 (56, 47) sloan
41 13 1.9704951578 (87, 75) mlstaff
41 56 1.97284666523 (95, 83) sloan
41 38 1.97304592123 (52, 43) sloan
41 60 1.973708928 (67, 56) mlgrad
41 39 1.97431528343 (60, 50) mlgrad
41 25 inf (0, 0) sloan
41 48 inf (0, 0) Germany
41 52 inf (0, 0) 
41 53 inf (43, 37) mlgrad
41 55 inf (0, 0) urop_hd
41 64 inf (66, 55) sloan
41 67 inf (0, 0) sloan
41 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 42 (converts to 51, then to 0) 
42 30 1.36902679672 (68, 57) mlgrad
42 96 1.48407842639 (25, 21) mlgrad
42 62 1.49251376108 (104, 92) mlgrad
42 38 1.49776075521 (52, 43) sloan
42 50 1.49787763021 (86, 74) sloan
42 84 1.50983575997 (77, 66) sloan
42 81 1.51237017215 (19, 16) 1styeargrad
42 10 1.53382051257 (37, 32) mlgrad
42 57 1.54741213694 (23, 20) mlgrad
42 86 1.56049267819 (8, 6) mlgrad
42 39 1.5673555639 (60, 50) mlgrad
42 72 1.57260038941 (81, 70) sloan
42 21 1.58706891109 (103, 91) mlgrad
42 74 1.5989104339 (75, 64) mlgrad
42 43 1.60520390609 (101, 89) mlgrad
42 28 1.61222518508 (0, 0) 6years
42 80 1.62701773124 (27, 23) mlgrad
42 35 1.63418221904 (0, 0) sloan
42 90 1.76640277359 (13, 11) grad
42 37 1.79796594077 (94, 82) mlgrad
42 71 1.91253014828 (20, 17) 1styeargrad
42 46 1.91413342195 (93, 81) sloan
42 17 1.91434430239 (0, 0) 5 year media lab
42 78 1.91434430239 (12, 10) mlgrad
42 7 1.91434430239 (21, 18) 1styeargrad
42 85 1.91434430239 (6, 4) mlgrad
42 22 1.91434430239 (49, 41) sloan
42 47 1.91434430239 (90, 78) mlgrad
42 68 1.91434430239 (38, 33) mlfrosh
42 15 1.91434430239 (15, 13) 1styeargrad
42 95 1.91434430239 (9, 7) professor
42 97 1.91434430239 (22, 19) 1styeargrad
42 77 1.91434430239 (89, 77) sloan
42 27 1.91434430239 (34, 0) 
42 29 1.91434430239 (4, 2) mlgrad
42 24 1.91434430239 (78, 67) mlfrosh
42 31 1.91434430239 (0, 0) sloan
42 70 1.91434430239 (40, 34) mlfrosh
42 18 1.91434430239 (30, 26) mlgrad
42 63 1.91434430239 (36, 31) mlgrad
42 89 1.91434430239 (26, 22) 1styeargrad
42 44 1.91434430239 (0, 0) 3rdyeargrad
42 2 1.91434430239 (29, 25) mlgrad
42 6 1.91434430239 (3, 1) 1styeargrad
42 65 1.91434430239 (53, 44) mlgrad
42 88 1.91434430239 (17, 15) mlstaff
42 91 1.91434430239 (35, 30) mlgrad
42 20 1.91434430239 (74, 63) sloan
42 59 1.91434430239 (7, 5) grad
42 61 1.91434430239 (79, 68) mlfrosh
42 79 1.91434430239 (76, 65) sloan
42 82 1.91434430239 (83, 72) mlgrad
42 92 1.91434430239 (46, 39) sloan
42 94 1.91434430239 (10, 8) mlgrad
42 45 1.91434430239 (84, 73) sloan
42 76 1.91434430239 (82, 71) 1styeargrad
42 32 1.91434430239 (0, 0) graduated
42 75 1.91434430239 (100, 88) 1styeargrad
42 26 1.91434430239 (63, 53) 1styeargrad
42 73 1.91434430239 (70, 59) sloan
42 8 1.91434430239 (18, 0) 
42 33 1.91434430239 (41, 35) mlstaff
42 58 1.91434430239 (33, 29) mlfrosh
42 23 1.91434430239 (61, 51) sloan
42 49 1.91434430239 (50, 42) mlgrad
42 83 1.91434430239 (5, 3) mlgrad
42 5 1.92918353559 (24, 0) 
42 14 1.93246746396 (16, 14) 1styeargrad
42 93 1.9338660921 (65, 54) mlgrad
42 16 1.93669818898 (102, 90) mlurop
42 54 1.93942531984 (91, 0) mlgrad
42 3 1.93985162072 (32, 28) mlfrosh
42 11 1.94757918025 (88, 76) 1styeargrad
42 66 1.94786548831 (42, 36) sloan
42 34 1.95098207934 (96, 84) mlgrad
42 36 1.95160446122 (54, 45) sloan
42 4 1.9521936406 (55, 46) sloan
42 41 1.95273644418 (0, 0) prof
42 9 1.95439414956 (0, 0) mlUrop
42 19 1.96688312402 (56, 47) sloan
42 12 1.97045928215 (97, 85) sloan
42 13 1.9704951578 (87, 75) mlstaff
42 69 1.97146506374 (28, 24) 1styeargrad
42 56 1.97284666523 (95, 83) sloan
42 60 1.97370983902 (67, 56) mlgrad
42 40 1.98198989339 (98, 86) sloan
42 51 1.98367922438 (58, 49) 1styeargrad
42 25 inf (0, 0) sloan
42 48 inf (0, 0) Germany
42 52 inf (0, 0) 
42 53 inf (43, 37) mlgrad
42 55 inf (0, 0) urop_hd
42 64 inf (66, 55) sloan
42 67 inf (0, 0) sloan
42 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 43 (converts to 101, then to 89) mlgrad
43 96 0.977532645831 (25, 21) mlgrad
43 62 1.49206382286 (104, 92) mlgrad
43 86 1.51075670325 (8, 6) mlgrad
43 30 1.5114301311 (68, 57) mlgrad
43 57 1.51224728601 (23, 20) mlgrad
43 74 1.5359612002 (75, 64) mlgrad
43 21 1.53836605234 (103, 91) mlgrad
43 38 1.55033725949 (52, 43) sloan
43 10 1.57815471382 (37, 32) mlgrad
43 50 1.59024942868 (86, 74) sloan
43 84 1.59313997864 (77, 66) sloan
43 28 1.5989149704 (0, 0) 6years
43 80 1.60031372254 (27, 23) mlgrad
43 42 1.60520390609 (51, 0) 
43 81 1.60520887319 (19, 16) 1styeargrad
43 39 1.61004704411 (60, 50) mlgrad
43 72 1.63566580216 (81, 70) sloan
43 35 1.7071875777 (0, 0) sloan
43 37 1.72856906586 (94, 82) mlgrad
43 90 1.75678420238 (13, 11) grad
43 71 1.86022709286 (20, 17) 1styeargrad
43 46 1.86183083091 (93, 81) sloan
43 78 1.86204124697 (12, 10) mlgrad
43 7 1.86204124697 (21, 18) 1styeargrad
43 68 1.86204124697 (38, 33) mlfrosh
43 97 1.86204124697 (22, 19) 1styeargrad
43 27 1.86204124697 (34, 0) 
43 95 1.86204124697 (9, 7) professor
43 89 1.86204124697 (26, 22) 1styeargrad
43 63 1.86204124697 (36, 31) mlgrad
43 15 1.86204124697 (15, 13) 1styeargrad
43 88 1.86204124697 (17, 15) mlstaff
43 94 1.86204124697 (10, 8) mlgrad
43 76 1.86204124697 (82, 71) 1styeargrad
43 77 1.86204124697 (89, 77) sloan
43 32 1.86204124697 (0, 0) graduated
43 58 1.86204124697 (33, 29) mlfrosh
43 83 1.86204124697 (5, 3) mlgrad
43 91 1.86204130514 (35, 30) mlgrad
43 47 1.86204171134 (90, 78) mlgrad
43 2 1.86204171134 (29, 25) mlgrad
43 44 1.86204171134 (0, 0) 3rdyeargrad
43 6 1.86204171134 (3, 1) 1styeargrad
43 59 1.86204171134 (7, 5) grad
43 92 1.86204171134 (46, 39) sloan
43 75 1.86204171134 (100, 88) 1styeargrad
43 33 1.86204171134 (41, 35) mlstaff
43 73 1.86204171134 (70, 59) sloan
43 82 1.86204171134 (83, 72) mlgrad
43 79 1.87152489869 (76, 65) sloan
43 65 1.87225298595 (53, 44) mlgrad
43 20 1.88384069186 (74, 63) sloan
43 8 1.88476321777 (18, 0) 
43 49 1.88632183699 (50, 42) mlgrad
43 29 1.88669342245 (4, 2) mlgrad
43 45 1.89286679997 (84, 73) sloan
43 85 1.89408025537 (6, 4) mlgrad
43 26 1.89595992649 (63, 53) 1styeargrad
43 61 1.8969973693 (79, 68) mlfrosh
43 24 1.90139466131 (78, 67) mlfrosh
43 70 1.90469376557 (40, 34) mlfrosh
43 17 1.90665881652 (0, 0) 5 year media lab
43 31 1.90713596962 (0, 0) sloan
43 18 1.90862483821 (30, 26) mlgrad
43 23 1.91294676133 (61, 51) sloan
43 22 1.91340425886 (49, 41) sloan
43 5 1.92918307122 (24, 0) 
43 14 1.93246699958 (16, 14) 1styeargrad
43 93 1.9338660921 (65, 54) mlgrad
43 16 1.9366977246 (102, 90) mlurop
43 54 1.93942531984 (91, 0) mlgrad
43 3 1.93985115634 (32, 28) mlfrosh
43 11 1.94757918025 (88, 76) 1styeargrad
43 66 1.94786548831 (42, 36) sloan
43 34 1.95098207934 (96, 84) mlgrad
43 36 1.95160446122 (54, 45) sloan
43 4 1.9521936406 (55, 46) sloan
43 41 1.9527359798 (0, 0) prof
43 9 1.95439414956 (0, 0) mlUrop
43 19 1.96688312402 (56, 47) sloan
43 12 1.97045928215 (97, 85) sloan
43 13 1.9704951578 (87, 75) mlstaff
43 69 1.97146459936 (28, 24) 1styeargrad
43 56 1.97284666523 (95, 83) sloan
43 60 1.97370937464 (67, 56) mlgrad
43 40 1.98198989339 (98, 86) sloan
43 51 1.98367922438 (58, 49) 1styeargrad
43 25 inf (0, 0) sloan
43 48 inf (0, 0) Germany
43 52 inf (0, 0) 
43 53 inf (43, 37) mlgrad
43 55 inf (0, 0) urop_hd
43 64 inf (66, 55) sloan
43 67 inf (0, 0) sloan
43 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 44 (converts to 0, then to 0) 3rdyeargrad
44 89 1.13072365601 (26, 22) 1styeargrad
44 8 1.14466776819 (18, 0) 
44 54 1.15744021562 (91, 0) mlgrad
44 83 1.16193642778 (5, 3) mlgrad
44 18 1.19923981837 (30, 26) mlgrad
44 32 1.20029905478 (0, 0) graduated
44 14 1.22966836973 (16, 14) 1styeargrad
44 51 1.2402391188 (58, 49) 1styeargrad
44 7 1.28862847354 (21, 18) 1styeargrad
44 63 1.30201839828 (36, 31) mlgrad
44 68 1.37134172458 (38, 33) mlfrosh
44 75 1.37416965188 (100, 88) 1styeargrad
44 95 1.38438581516 (9, 7) professor
44 73 1.43497617155 (70, 59) sloan
44 76 1.44046034691 (82, 71) 1styeargrad
44 16 1.46228915401 (102, 90) mlurop
44 79 1.47558705377 (76, 65) sloan
44 97 1.47970001463 (22, 19) 1styeargrad
44 94 1.48302941561 (10, 8) mlgrad
44 88 1.49711305938 (17, 15) mlstaff
44 31 1.51147935527 (0, 0) sloan
44 45 1.53253847808 (84, 73) sloan
44 41 1.5437713922 (0, 0) prof
44 3 1.56420272777 (32, 28) mlfrosh
44 78 1.58627978048 (12, 10) mlgrad
44 27 1.58627978048 (34, 0) 
44 91 1.58627978048 (35, 30) mlgrad
44 2 1.58627978048 (29, 25) mlgrad
44 92 1.58627978048 (46, 39) sloan
44 6 1.58627978048 (3, 1) 1styeargrad
44 58 1.58627978048 (33, 29) mlfrosh
44 69 1.63244757743 (28, 24) 1styeargrad
44 33 1.64113487394 (41, 35) mlstaff
44 40 1.65774654972 (98, 86) sloan
44 82 1.67405559884 (83, 72) mlgrad
44 37 1.68158651852 (94, 82) mlgrad
44 15 1.6819204833 (15, 13) 1styeargrad
44 90 1.68524581383 (13, 11) grad
44 34 1.68843735899 (96, 84) mlgrad
44 80 1.71422077887 (27, 23) mlgrad
44 47 1.74631591948 (90, 78) mlgrad
44 30 1.79274411093 (68, 57) mlgrad
44 59 1.79699768461 (7, 5) grad
44 62 1.79821195991 (104, 92) mlgrad
44 71 1.80018326791 (20, 17) 1styeargrad
44 35 1.80634522968 (0, 0) sloan
44 57 1.8063584472 (23, 20) mlgrad
44 20 1.8202227018 (74, 63) sloan
44 77 1.82660267793 (89, 77) sloan
44 96 1.84640654347 (25, 21) mlgrad
44 46 1.85786244298 (93, 81) sloan
44 43 1.86204171134 (101, 89) mlgrad
44 65 1.87225345033 (53, 44) mlgrad
44 72 1.88271717515 (81, 70) sloan
44 49 1.88632183699 (50, 42) mlgrad
44 29 1.88669388683 (4, 2) mlgrad
44 74 1.88948362644 (75, 64) mlgrad
44 85 1.89408025537 (6, 4) mlgrad
44 26 1.89595992649 (63, 53) 1styeargrad
44 61 1.8969973693 (79, 68) mlfrosh
44 86 1.90010334427 (8, 6) mlgrad
44 12 1.90085677877 (97, 85) sloan
44 24 1.90139512569 (78, 67) mlfrosh
44 70 1.90469376557 (40, 34) mlfrosh
44 17 1.9066592809 (0, 0) 5 year media lab
44 23 1.91294676133 (61, 51) sloan
44 22 1.91340425886 (49, 41) sloan
44 42 1.91434430239 (51, 0) 
44 10 1.92420526898 (37, 32) mlgrad
44 5 1.92918353559 (24, 0) 
44 93 1.9338660921 (65, 54) mlgrad
44 28 1.93933844365 (0, 0) 6years
44 81 1.94123981205 (19, 16) 1styeargrad
44 84 1.94267425566 (77, 66) sloan
44 11 1.94757918025 (88, 76) 1styeargrad
44 66 1.94781086527 (42, 36) sloan
44 36 1.95160446122 (54, 45) sloan
44 4 1.9521936406 (55, 46) sloan
44 9 1.95439414956 (0, 0) mlUrop
44 21 1.95769749601 (103, 91) mlgrad
44 50 1.96292783164 (86, 74) sloan
44 19 1.96688312402 (56, 47) sloan
44 13 1.9704951578 (87, 75) mlstaff
44 56 1.97284666523 (95, 83) sloan
44 38 1.97304592123 (52, 43) sloan
44 60 1.97370983902 (67, 56) mlgrad
44 39 1.97431528343 (60, 50) mlgrad
44 25 inf (0, 0) sloan
44 48 inf (0, 0) Germany
44 52 inf (0, 0) 
44 53 inf (43, 37) mlgrad
44 55 inf (0, 0) urop_hd
44 64 inf (66, 55) sloan
44 67 inf (0, 0) sloan
44 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 45 (converts to 84, then to 73) sloan
45 89 1.40214940805 (26, 22) 1styeargrad
45 69 1.45543808214 (28, 24) 1styeargrad
45 44 1.53253847808 (0, 0) 3rdyeargrad
45 3 1.53713739885 (32, 28) mlfrosh
45 73 1.56033410597 (70, 59) sloan
45 83 1.56831608788 (5, 3) mlgrad
45 51 1.57225805511 (58, 49) 1styeargrad
45 68 1.57356042677 (38, 33) mlfrosh
45 63 1.5944931333 (36, 31) mlgrad
45 31 1.59613764998 (0, 0) sloan
45 79 1.59946552702 (76, 65) sloan
45 88 1.60597558632 (17, 15) mlstaff
45 32 1.60752494444 (0, 0) graduated
45 8 1.60798704372 (18, 0) 
45 14 1.6318736216 (16, 14) 1styeargrad
45 54 1.646966677 (91, 0) mlgrad
45 94 1.64817363476 (10, 8) mlgrad
45 75 1.65319391931 (100, 88) 1styeargrad
45 95 1.66558049074 (9, 7) professor
45 33 1.67160733719 (41, 35) mlstaff
45 18 1.67651058027 (30, 26) mlgrad
45 16 1.67854863447 (102, 90) mlurop
45 7 1.68463126699 (21, 18) 1styeargrad
45 97 1.68944620375 (22, 19) 1styeargrad
45 40 1.70228771854 (98, 86) sloan
45 37 1.71555442931 (94, 82) mlgrad
45 34 1.72610169971 (96, 84) mlgrad
45 76 1.74350167094 (82, 71) 1styeargrad
45 41 1.76010272279 (0, 0) prof
45 35 1.82635375651 (0, 0) sloan
45 20 1.82967962831 (74, 63) sloan
45 72 1.88064321968 (81, 70) sloan
45 78 1.89286679997 (12, 10) mlgrad
45 43 1.89286679997 (101, 89) mlgrad
45 57 1.89286679997 (23, 20) mlgrad
45 47 1.89286679997 (90, 78) mlgrad
45 15 1.89286679997 (15, 13) 1styeargrad
45 27 1.89286679997 (34, 0) 
45 29 1.89286679997 (4, 2) mlgrad
45 77 1.89286679997 (89, 77) sloan
45 46 1.89286679997 (93, 81) sloan
45 71 1.89286679997 (20, 17) 1styeargrad
45 90 1.89286679997 (13, 11) grad
45 91 1.89286679997 (35, 30) mlgrad
45 62 1.89286679997 (104, 92) mlgrad
45 2 1.89286679997 (29, 25) mlgrad
45 6 1.89286679997 (3, 1) 1styeargrad
45 59 1.89286679997 (7, 5) grad
45 65 1.89286679997 (53, 44) mlgrad
45 96 1.89286679997 (25, 21) mlgrad
45 30 1.89286679997 (68, 57) mlgrad
45 82 1.89286679997 (83, 72) mlgrad
45 92 1.89286679997 (46, 39) sloan
45 80 1.89286679997 (27, 23) mlgrad
45 49 1.89286679997 (50, 42) mlgrad
45 58 1.89286679997 (33, 29) mlfrosh
45 74 1.89286679997 (75, 64) mlgrad
45 85 1.89408025537 (6, 4) mlgrad
45 26 1.89595992649 (63, 53) 1styeargrad
45 61 1.8969973693 (79, 68) mlfrosh
45 86 1.90010334427 (8, 6) mlgrad
45 24 1.90139512569 (78, 67) mlfrosh
45 70 1.90469376557 (40, 34) mlfrosh
45 12 1.90534481138 (97, 85) sloan
45 17 1.9066592809 (0, 0) 5 year media lab
45 23 1.91294676133 (61, 51) sloan
45 22 1.91340425886 (49, 41) sloan
45 42 1.91434430239 (51, 0) 
45 10 1.92420526898 (37, 32) mlgrad
45 5 1.92918353559 (24, 0) 
45 93 1.9338660921 (65, 54) mlgrad
45 28 1.93933844365 (0, 0) 6years
45 81 1.94123981205 (19, 16) 1styeargrad
45 84 1.94267425566 (77, 66) sloan
45 11 1.94757918025 (88, 76) 1styeargrad
45 66 1.94785823333 (42, 36) sloan
45 36 1.95160446122 (54, 45) sloan
45 4 1.9521936406 (55, 46) sloan
45 9 1.95439414956 (0, 0) mlUrop
45 21 1.95769749601 (103, 91) mlgrad
45 50 1.96292783164 (86, 74) sloan
45 19 1.96688312402 (56, 47) sloan
45 13 1.9704951578 (87, 75) mlstaff
45 56 1.97284666523 (95, 83) sloan
45 38 1.97304592123 (52, 43) sloan
45 60 1.97370983902 (67, 56) mlgrad
45 39 1.97431528343 (60, 50) mlgrad
45 25 inf (0, 0) sloan
45 48 inf (0, 0) Germany
45 52 inf (0, 0) 
45 53 inf (43, 37) mlgrad
45 55 inf (0, 0) urop_hd
45 64 inf (66, 55) sloan
45 67 inf (0, 0) sloan
45 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 46 (converts to 93, then to 81) sloan
46 58 0.901912535747 (33, 29) mlfrosh
46 71 0.969318307136 (20, 17) 1styeargrad
46 27 1.12481091013 (34, 0) 
46 59 1.29312045622 (7, 5) grad
46 20 1.30212422822 (74, 63) sloan
46 61 1.31759287997 (79, 68) mlfrosh
46 92 1.33406991214 (46, 39) sloan
46 93 1.33592110528 (65, 54) mlgrad
46 11 1.39729366549 (88, 76) 1styeargrad
46 26 1.50499763751 (63, 53) 1styeargrad
46 66 1.54809298107 (42, 36) sloan
46 35 1.54953586606 (0, 0) sloan
46 49 1.55032767383 (50, 42) mlgrad
46 23 1.57123192428 (61, 51) sloan
46 70 1.59226000436 (40, 34) mlfrosh
46 17 1.60135471575 (0, 0) 5 year media lab
46 36 1.62844605568 (54, 45) sloan
46 22 1.63492511203 (49, 41) sloan
46 24 1.65573331216 (78, 67) mlfrosh
46 77 1.72611803528 (89, 77) sloan
46 40 1.8105251102 (98, 86) sloan
46 76 1.82746230982 (82, 71) 1styeargrad
46 80 1.85200770634 (27, 23) mlgrad
46 97 1.85286169291 (22, 19) 1styeargrad
46 2 1.85705954106 (29, 25) mlgrad
46 57 1.85765156255 (23, 20) mlgrad
46 90 1.85765156255 (13, 11) grad
46 62 1.85765156255 (104, 92) mlgrad
46 96 1.85765156255 (25, 21) mlgrad
46 30 1.85765156255 (68, 57) mlgrad
46 89 1.85767804739 (26, 22) 1styeargrad
46 94 1.85783325092 (10, 8) mlgrad
46 78 1.85786244298 (12, 10) mlgrad
46 88 1.85786244298 (17, 15) mlstaff
46 47 1.85786244298 (90, 78) mlgrad
46 33 1.85786244298 (41, 35) mlstaff
46 68 1.85786244298 (38, 33) mlfrosh
46 95 1.85786244298 (9, 7) professor
46 15 1.85786244298 (15, 13) 1styeargrad
46 7 1.85786244298 (21, 18) 1styeargrad
46 6 1.85786244298 (3, 1) 1styeargrad
46 44 1.85786244298 (0, 0) 3rdyeargrad
46 82 1.85786244298 (83, 72) mlgrad
46 91 1.85786244298 (35, 30) mlgrad
46 32 1.85786244298 (0, 0) graduated
46 75 1.85786244298 (100, 88) 1styeargrad
46 63 1.85786244298 (36, 31) mlgrad
46 83 1.85786244298 (5, 3) mlgrad
46 73 1.85786244298 (70, 59) sloan
46 43 1.86183083091 (101, 89) mlgrad
46 37 1.86789129665 (94, 82) mlgrad
46 79 1.87152489869 (76, 65) sloan
46 65 1.87225345033 (53, 44) mlgrad
46 8 1.88476368215 (18, 0) 
46 29 1.88669388683 (4, 2) mlgrad
46 74 1.889272746 (75, 64) mlgrad
46 45 1.89286679997 (84, 73) sloan
46 85 1.89406409479 (6, 4) mlgrad
46 86 1.89989246384 (8, 6) mlgrad
46 3 1.90000717894 (32, 28) mlfrosh
46 31 1.90713596962 (0, 0) sloan
46 18 1.90862530259 (30, 26) mlgrad
46 42 1.91413342195 (51, 0) 
46 10 1.92399438854 (37, 32) mlgrad
46 5 1.92918353559 (24, 0) 
46 14 1.93246746396 (16, 14) 1styeargrad
46 16 1.93669818898 (102, 90) mlurop
46 60 1.93775649102 (67, 56) mlgrad
46 28 1.93912756321 (0, 0) 6years
46 54 1.93942531984 (91, 0) mlgrad
46 81 1.94102893161 (19, 16) 1styeargrad
46 84 1.94246337523 (77, 66) sloan
46 72 1.94285932389 (81, 70) sloan
46 34 1.95098207934 (96, 84) mlgrad
46 4 1.95206210369 (55, 46) sloan
46 41 1.95273644418 (0, 0) prof
46 9 1.95439414956 (0, 0) mlUrop
46 21 1.95748661557 (103, 91) mlgrad
46 50 1.9627169512 (86, 74) sloan
46 19 1.96688312402 (56, 47) sloan
46 12 1.97045928215 (97, 85) sloan
46 13 1.9704951578 (87, 75) mlstaff
46 69 1.97142255129 (28, 24) 1styeargrad
46 38 1.9728350408 (52, 43) sloan
46 56 1.97284666523 (95, 83) sloan
46 39 1.974104403 (60, 50) mlgrad
46 51 1.98367922438 (58, 49) 1styeargrad
46 25 inf (0, 0) sloan
46 48 inf (0, 0) Germany
46 52 inf (0, 0) 
46 53 inf (43, 37) mlgrad
46 55 inf (0, 0) urop_hd
46 64 inf (66, 55) sloan
46 67 inf (0, 0) sloan
46 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 47 (converts to 90, then to 78) mlgrad
47 15 0.595942283081 (15, 13) 1styeargrad
47 82 0.744979420241 (83, 72) mlgrad
47 4 0.848131489316 (55, 46) sloan
47 19 1.01738414857 (56, 47) sloan
47 78 1.5096948746 (12, 10) mlgrad
47 9 1.5520701316 (0, 0) mlUrop
47 91 1.67057505279 (35, 30) mlgrad
47 85 1.70750053339 (6, 4) mlgrad
47 65 1.71711763602 (53, 44) mlgrad
47 29 1.7178469626 (4, 2) mlgrad
47 2 1.73295750719 (29, 25) mlgrad
47 7 1.74631591948 (21, 18) 1styeargrad
47 97 1.74631591948 (22, 19) 1styeargrad
47 27 1.74631591948 (34, 0) 
47 63 1.74631591948 (36, 31) mlgrad
47 44 1.74631591948 (0, 0) 3rdyeargrad
47 6 1.74631591948 (3, 1) 1styeargrad
47 94 1.74631591948 (10, 8) mlgrad
47 92 1.74631591948 (46, 39) sloan
47 76 1.74631591948 (82, 71) 1styeargrad
47 90 1.74631591948 (13, 11) grad
47 32 1.74631591948 (0, 0) graduated
47 80 1.74631591948 (27, 23) mlgrad
47 58 1.74631591948 (33, 29) mlfrosh
47 83 1.74631591948 (5, 3) mlgrad
47 5 1.74778959314 (24, 0) 
47 75 1.7825902224 (100, 88) 1styeargrad
47 30 1.79274411093 (68, 57) mlgrad
47 59 1.79699768461 (7, 5) grad
47 62 1.79821195991 (104, 92) mlgrad
47 71 1.80018326791 (20, 17) 1styeargrad
47 95 1.80393944789 (9, 7) professor
47 57 1.8063584472 (23, 20) mlgrad
47 88 1.80894025241 (17, 15) mlstaff
47 89 1.81467408144 (26, 22) 1styeargrad
47 77 1.82662991632 (89, 77) sloan
47 73 1.84236108036 (70, 59) sloan
47 13 1.84263676773 (87, 75) mlstaff
47 68 1.84296750948 (38, 33) mlfrosh
47 96 1.84640654347 (25, 21) mlgrad
47 33 1.84814110633 (41, 35) mlstaff
47 12 1.85362782585 (97, 85) sloan
47 46 1.85786244298 (93, 81) sloan
47 43 1.86204171134 (101, 89) mlgrad
47 35 1.8657086024 (0, 0) sloan
47 37 1.86810217709 (94, 82) mlgrad
47 79 1.87152489869 (76, 65) sloan
47 56 1.88178770271 (95, 83) sloan
47 20 1.88384115624 (74, 63) sloan
47 8 1.88470821188 (18, 0) 
47 49 1.88632183699 (50, 42) mlgrad
47 74 1.88948362644 (75, 64) mlgrad
47 45 1.89286679997 (84, 73) sloan
47 26 1.89595992649 (63, 53) 1styeargrad
47 61 1.8969973693 (79, 68) mlfrosh
47 86 1.90010334427 (8, 6) mlgrad
47 24 1.90139512569 (78, 67) mlfrosh
47 70 1.90469376557 (40, 34) mlfrosh
47 17 1.9066592809 (0, 0) 5 year media lab
47 31 1.90713596962 (0, 0) sloan
47 18 1.90862530259 (30, 26) mlgrad
47 23 1.91294676133 (61, 51) sloan
47 22 1.91340425886 (49, 41) sloan
47 42 1.91434430239 (51, 0) 
47 10 1.92420526898 (37, 32) mlgrad
47 14 1.93246746396 (16, 14) 1styeargrad
47 93 1.9338660921 (65, 54) mlgrad
47 16 1.93669818898 (102, 90) mlurop
47 28 1.93933844365 (0, 0) 6years
47 54 1.93942531984 (91, 0) mlgrad
47 3 1.93985162072 (32, 28) mlfrosh
47 81 1.94123981205 (19, 16) 1styeargrad
47 84 1.94267425566 (77, 66) sloan
47 72 1.94307020432 (81, 70) sloan
47 11 1.94757918025 (88, 76) 1styeargrad
47 66 1.94786548831 (42, 36) sloan
